DATASET PATH: C:/Users/Tobia/workspace/ToyBeispiel/TempPP.dat

Vektor n [Desired-Out | Final-Result | Difference]


Vektor 1	 [59.105737902594	 | 59.64808416435651	 | -0.5423462617625106]
Vektor 338	 [7.175313025479249	 | 9.051932456955697	 | -1.8766194314764482]
Vektor 339	 [34.79273388074531	 | 35.43446347700504	 | -0.6417295962597294]
Vektor 340	 [24.4951389186596	 | 25.5158321492652	 | -1.0206932306056018]
Vektor 341	 [16.127778491914402	 | 16.114914109602843	 | 0.012864382311558842]
Vektor 342	 [7.9648798601526405	 | 7.000325606152524	 | 0.9645542540001166]
Vektor 343	 [7.238910938810301	 | 9.109200425546463	 | -1.8702894867361621]
Vektor 344	 [9.879261810277558	 | 8.97937008863359	 | 0.8998917216439679]
Vektor 345	 [6.741888345396159	 | 8.661353382293706	 | -1.919465036897547]
Vektor 346	 [2.6728060505016895	 | 2.5646571335846096	 | 0.10814891691707995]
Vektor 347	 [52.5856159667507	 | 52.71703022296656	 | -0.13141425621585512]
Vektor 348	 [66.5370123041838	 | 67.45336752913681	 | -0.9163552249530085]
Vektor 349	 [42.8955425924917	 | 42.87601813049954	 | 0.0195244619921624]
Vektor 350	 [64.4419564511497	 | 64.87955085544266	 | -0.43759440429296603]
Vektor 351	 [28.897392176043702	 | 29.133286980581076	 | -0.23589480453737366]
Vektor 352	 [32.6422539797342	 | 33.45857206216059	 | -0.8163180824263918]
Vektor 353	 [18.8876462441265	 | 19.33159662375956	 | -0.4439503796330584]
Vektor 354	 [48.4943931947774	 | 48.48704935618773	 | 0.00734383858966936]
Vektor 355	 [4.977006477324481	 | 7.061622462081958	 | -2.0846159847574777]
Vektor 356	 [10.3975035762578	 | 11.949772709299449	 | -1.5522691330416496]
Vektor 357	 [54.18249661881279	 | 54.40109571802434	 | -0.21859909921154497]
Vektor 358	 [10.645880775718002	 | 12.173416684469034	 | -1.527535908751032]
Vektor 359	 [72.6324943010837	 | 73.44963794864721	 | -0.8171436475635119]
Vektor 360	 [1.8359677801552208	 | 4.093708885232639	 | -2.257741105077418]
Vektor 361	 [16.1569950685163	 | 17.1750334312556	 | -1.0180383627393006]
Vektor 362	 [63.23193466810581	 | 63.624986869985506	 | -0.3930522018796978]
Vektor 363	 [73.0016128464567	 | 73.79703304356956	 | -0.7954201971128612]
Vektor 364	 [11.4423368626988	 | 12.891315107964177	 | -1.4489782452653763]
Vektor 365	 [17.074824807462104	 | 18.017200562513292	 | -0.942375755051188]
Vektor 366	 [42.910665246615004	 | 42.891148645620454	 | 0.01951660099454955]
Vektor 367	 [52.67635394326329	 | 52.76489199043	 | -0.08853804716671476]
Vektor 368	 [1.0770741223477205	 | 3.301324644674401	 | -2.2242505223266806]
Vektor 369	 [18.165571764418	 | 18.496466240863683	 | -0.3308944764456818]
Vektor 370	 [10.656918783670102	 | 12.18335789534888	 | -1.526439111678778]
Vektor 371	 [39.9395974183927	 | 39.9292081107862	 | 0.01038930760650203]
Vektor 372	 [29.728951383031802	 | 30.729523104391564	 | -1.000571721359762]
Vektor 373	 [37.464589946398604	 | 37.47899980373981	 | -0.014409857341206589]
Vektor 374	 [25.8236305254743	 | 26.19584065656407	 | -0.3722101310897692]
Vektor 375	 [2.0974943516122595	 | 4.3545428679128655	 | -2.257048516300606]
Vektor 376	 [5.1585349436176315	 | 7.227188274485148	 | -2.068653330867517]
Vektor 377	 [39.988336654088904	 | 39.97761994258491	 | 0.010716711503995668]
Vektor 378	 [74.3265622594557	 | 75.18298318097969	 | -0.8564209215239913]
Vektor 379	 [61.379043886295406	 | 61.70730754753662	 | -0.3282636612412162]
Vektor 380	 [37.9981275719844	 | 38.00581275356481	 | -0.007685181580413314]
Vektor 381	 [32.7399106501059	 | 33.54877572488244	 | -0.8088650747765413]
Vektor 382	 [10.576915605157401	 | 9.735072305627712	 | 0.841843299529689]
Vektor 383	 [16.634152760202497	 | 16.708875513674446	 | -0.07472275347194923]
Vektor 384	 [42.2899464560821	 | 42.38285389055899	 | -0.09290743447689209]
Vektor 385	 [10.767636927054799	 | 12.283086124471376	 | -1.5154491974165776]
Vektor 386	 [9.266914296166531	 | 8.330198749860426	 | 0.9367155463061057]
Vektor 387	 [19.2990442655773	 | 20.07038082230752	 | -0.7713365567302191]
Vektor 388	 [18.1195386389616	 | 18.443023148973605	 | -0.32348451001200473]
Vektor 389	 [75.5544151936382	 | 76.12814048116763	 | -0.5737252875294274]
Vektor 390	 [73.4541516250157	 | 74.21698673838493	 | -0.7628351133692348]
Vektor 391	 [16.893970156075103	 | 17.013269708050263	 | -0.11929955197516051]
Vektor 392	 [2.7048732982649195	 | 4.94563715556937	 | -2.240763857304451]
Vektor 393	 [18.1140784539199	 | 18.43668256015203	 | -0.32260410623213076]
Vektor 394	 [80.7659755358306	 | 81.93466968602957	 | -1.1686941501989594]
Vektor 395	 [63.3926919879139	 | 64.19412116870662	 | -0.8014291807927165]
Vektor 396	 [15.1048129786319	 | 14.914475016708188	 | 0.19033796192371177]
Vektor 397	 [2.6380879449552306	 | 4.881456472242237	 | -2.2433685272870068]
Vektor 398	 [5.52408310562749	 | 7.559711713285405	 | -2.035628607657915]
Vektor 399	 [75.6764563136175	 | 76.23690370085261	 | -0.5604473872351008]
Vektor 400	 [3.663039280446542	 | 3.246622061232798	 | 0.4164172192137441]
Vektor 401	 [36.0583967003058	 | 36.59248150695622	 | -0.5340848066504194]
Vektor 402	 [47.7294247816012	 | 47.738738243402395	 | -0.009313461801191636]
Vektor 403	 [15.709057069264299	 | 15.62343469272161	 | 0.08562237654268934]
Vektor 404	 [34.8127736494716	 | 35.45280734380008	 | -0.6400336943284799]
Vektor 405	 [54.1518306713449	 | 54.27265293229776	 | -0.1208222609528633]
Vektor 406	 [11.427924563678	 | 10.677180908170167	 | 0.7507436555078328]
Vektor 407	 [75.7446697199254	 | 76.29758393857945	 | -0.5529142186540525]
Vektor 408	 [79.8506309615376	 | 79.79889194339593	 | 0.051739018141674364]
Vektor 409	 [3.7379409289861316	 | 5.920588778168068	 | -2.1826478491819366]
Vektor 410	 [12.3260188217795	 | 11.691628538058389	 | 0.6343902837211122]
Vektor 411	 [1.8286160897782595	 | 2.0597812589836297	 | -0.23116516920537022]
Vektor 412	 [7.878558076316571	 | 6.914822926600514	 | 0.9637351497160571]
Vektor 413	 [6.25012151490355	 | 5.372248203540857	 | 0.8778733113626931]
Vektor 414	 [50.06395589160131	 | 50.10484011839727	 | -0.04088422679595993]
Vektor 415	 [33.10119323892071	 | 33.20069634823212	 | -0.0995031093114136]
Vektor 416	 [18.2128985241309	 | 18.55138772929691	 | -0.33848920516600955]
Vektor 417	 [1.4858670944442798	 | 3.7361526463521155	 | -2.2502855519078357]
Vektor 418	 [9.60514895977469	 | 8.687048991463142	 | 0.918099968311548]
Vektor 419	 [16.6818802021071	 | 17.656291976911152	 | -0.9744117748040537]
Vektor 420	 [64.1848153631942	 | 65.02311358893033	 | -0.8382982257361249]
Vektor 421	 [62.781869407485	 | 63.551863087259065	 | -0.7699936797740676]
Vektor 422	 [45.4656088584873	 | 45.457135033234906	 | 0.008473825252394818]
Vektor 423	 [73.09634543316251	 | 73.88415399856396	 | -0.7878085654014484]
Vektor 424	 [17.0447840487241	 | 17.98958995544317	 | -0.9448059067190684]
Vektor 425	 [33.7173183665486	 | 34.44866496390648	 | -0.7313465973578843]
Vektor 426	 [4.54169946320383	 | 6.663175623629902	 | -2.121476160426072]
Vektor 427	 [12.5298534588031	 | 13.873809616102708	 | -1.3439561572996084]
Vektor 428	 [27.872213186321304	 | 28.935339067937893	 | -1.063125881616589]
Vektor 429	 [37.1461659911505	 | 37.164958911640916	 | -0.018792920490419363]
Vektor 430	 [5.510856527062511	 | 7.547698610888912	 | -2.036842083826401]
Vektor 431	 [11.876415703382097	 | 13.283136216134189	 | -1.4067205127520914]
Vektor 432	 [71.7731472273297	 | 72.6357620856145	 | -0.8626148582848003]
Vektor 433	 [8.01388671695202	 | 7.049023109401228	 | 0.964863607550793]
Vektor 434	 [3.15084426208022	 | 2.883157134434789	 | 0.2676871276454311]
Vektor 435	 [2.8021401836682096	 | 5.038807706771089	 | -2.2366675231028794]
Vektor 436	 [72.92385474310412	 | 73.72297029636455	 | -0.7991155532604353]
Vektor 437	 [3.19686814600348	 | 5.4136491989533635	 | -2.2167810529498837]
Vektor 438	 [11.7015023715121	 | 10.98420287857314	 | 0.7172994929389613]
Vektor 439	 [4.951625014449131	 | 7.038447242885692	 | -2.086822228436561]
Vektor 440	 [38.3344870568421	 | 38.68163927320254	 | -0.3471522163604419]
Vektor 441	 [3.350857415174601	 | 3.0224860991258415	 | 0.32837131604875935]
Vektor 442	 [47.1968678058687	 | 47.20052032506133	 | -0.003652519192634429]
Vektor 443	 [9.545355933058879	 | 11.183130288664021	 | -1.637774355605142]
Vektor 444	 [12.6874460042677	 | 14.016428385738367	 | -1.3289823814706665]
Vektor 445	 [4.08641152272177	 | 3.5628750683823123	 | 0.5235364543394576]
Vektor 446	 [50.1831533629415	 | 50.225935801648134	 | -0.0427824387066309]
Vektor 447	 [16.791652079047896	 | 17.75706026203767	 | -0.9654081829897727]
Vektor 448	 [75.8363576469442	 | 76.37901989270149	 | -0.5426622457572989]
Vektor 449	 [78.5723108772452	 | 78.7411516644629	 | -0.1688407872177038]
Vektor 450	 [13.0766615122947	 | 14.368949760016983	 | -1.2922882477222828]
Vektor 451	 [43.94465305058801	 | 43.92694422445795	 | 0.017708826130061084]
Vektor 452	 [54.0219177279106	 | 54.13974849253574	 | -0.11783076462513975]
Vektor 453	 [65.31619795671762	 | 66.19842062757971	 | -0.8822226708620917]
Vektor 454	 [27.104107187574503	 | 27.41563827701266	 | -0.31153108943815866]
Vektor 455	 [21.7689987114436	 | 22.371268083246502	 | -0.6022693718029011]
Vektor 456	 [22.745646165023	 | 23.287144623848906	 | -0.541498458825906]
Vektor 457	 [1.3927514097339704	 | 3.639026597615005	 | -2.2462751878810345]
Vektor 458	 [46.40841795048001	 | 46.390084659455226	 | 0.018333291024781317]
Vektor 459	 [25.227444146981796	 | 25.629839226855538	 | -0.4023950798737417]
Vektor 460	 [13.6314729261081	 | 14.872193089701975	 | -1.2407201635938758]
Vektor 461	 [1.1971307448424502	 | 3.431481637787945	 | -2.2343508929454945]
Vektor 462	 [3.3324111311175004	 | 3.0094937202662493	 | 0.32291741085125114]
Vektor 463	 [20.654682007829898	 | 21.33049307134811	 | -0.6758110635182106]
Vektor 464	 [4.451101402287821	 | 3.84599207256407	 | 0.6051093297237511]
Vektor 465	 [48.478071835377804	 | 48.49632691572763	 | -0.018255080349824482]
Vektor 466	 [69.7247300132232	 | 70.65151380805253	 | -0.9267837948293334]
Vektor 467	 [3.1721880165901	 | 2.897860882901199	 | 0.27432713368890127]
Vektor 468	 [3.594084442092961	 | 5.7864648465966635	 | -2.1923804045037025]
Vektor 469	 [19.7398869877569	 | 20.47943026100721	 | -0.7395432732503089]
Vektor 470	 [6.087770940354131	 | 5.226334707832504	 | 0.8614362325216272]
Vektor 471	 [2.4448713146491494	 | 2.420551535609178	 | 0.0243197790399714]
Vektor 472	 [32.7969273562903	 | 32.9044482346016	 | -0.10752087831130552]
Vektor 473	 [57.7780977670941	 | 58.23008406220933	 | -0.45198629511522626]
Vektor 474	 [2.6107243642726097	 | 4.85510900243533	 | -2.24438463816272]
Vektor 475	 [3.81123211410208	 | 5.988759466506211	 | -2.177527352404131]
Vektor 476	 [55.9770787377581	 | 56.307944786026056	 | -0.33086604826795707]
Vektor 477	 [5.650260273491419	 | 4.840834737899975	 | 0.8094255355914441]
Vektor 478	 [2.422753281432251	 | 4.673259887823889	 | -2.250506606391638]
Vektor 479	 [75.264671688111	 | 76.16503094525382	 | -0.9003592571428243]
Vektor 480	 [79.4448655235372	 | 80.54763767359822	 | -1.1027721500610141]
Vektor 481	 [49.1785308132418	 | 49.18423815065433	 | -0.005707337412530933]
Vektor 482	 [10.3384974298721	 | 11.89665665666766	 | -1.55815922679556]
Vektor 483	 [39.462044950754105	 | 39.725063022806005	 | -0.2630180720518993]
Vektor 484	 [68.7671515897712	 | 69.37696730075501	 | -0.6098157109838098]
Vektor 485	 [56.80418118632571	 | 56.99207935886326	 | -0.18789817253755103]
Vektor 486	 [60.3502250990133	 | 60.64440110494021	 | -0.2941760059269072]
Vektor 487	 [20.463190862195404	 | 21.15209214426635	 | -0.6889012820709475]
Vektor 488	 [48.90883863253941	 | 48.908866185419704	 | -2.755288029732128E-5]
Vektor 489	 [21.183738290134205	 | 21.824073274944457	 | -0.6403349848102522]
Vektor 490	 [41.4378826908527	 | 41.57492958936055	 | -0.13704689850784746]
Vektor 491	 [9.743154068247522	 | 8.833880954485377	 | 0.9092731137621453]
Vektor 492	 [45.93462040758391	 | 45.92006973055906	 | 0.014550677024850245]
Vektor 493	 [80.9638155773789	 | 82.14245179445506	 | -1.1786362170761606]
Vektor 494	 [11.2877189732219	 | 12.751849382059971	 | -1.4641304088380718]
Vektor 495	 [24.530913876523297	 | 24.970148516917053	 | -0.4392346403937566]
Vektor 496	 [8.43873968814292	 | 7.475808611027825	 | 0.9629310771150958]
Vektor 497	 [31.452045156104404	 | 32.353575931693015	 | -0.9015307755886113]
Vektor 498	 [80.5229632614996	 | 81.67946957726473	 | -1.156506315765128]
Vektor 499	 [28.252663166713504	 | 29.307339749110298	 | -1.0546765823967945]
Vektor 500	 [48.92741569093201	 | 48.95158005992183	 | -0.02416436898982255]
Vektor 501	 [14.599314385394202	 | 15.752280615861508	 | -1.1529662304673067]
Vektor 502	 [5.26294844414218	 | 4.5093064927396425	 | 0.7536419514025372]
Vektor 503	 [12.075078235897898	 | 11.40633946525146	 | 0.6687387706464385]
Vektor 504	 [4.630373634946021	 | 6.7445199012550505	 | -2.11414626630903]
Vektor 505	 [51.523643185579296	 | 51.58961315344159	 | -0.06596996786229425]
Vektor 506	 [31.1134942313951	 | 32.03703460122208	 | -0.9235403698269806]
Vektor 507	 [13.546637822864803	 | 14.795185305998903	 | -1.2485474831341001]
Vektor 508	 [80.23383993993362	 | 80.11019837776549	 | 0.12364156216813171]
Vektor 509	 [1.09105021215633	 | 3.3166005970581347	 | -2.225550384901805]
Vektor 510	 [3.4606377963393298	 | 3.100396001044845	 | 0.36024179529448475]
Vektor 511	 [77.9734019655763	 | 79.00378293508673	 | -1.030380969510432]
Vektor 512	 [9.96056099209133	 | 11.55656337727729	 | -1.5960023851859617]
Vektor 513	 [7.1346806242374905	 | 6.193034586286075	 | 0.9416460379514158]
Vektor 514	 [67.9292987249769	 | 68.50427203995417	 | -0.5749733149772709]
Vektor 515	 [1.8044644800800498	 | 2.046602866516083	 | -0.24213838643603314]
Vektor 516	 [2.2561550929257503	 | 4.510712688724645	 | -2.254557595798895]
Vektor 517	 [46.9006042137832	 | 46.88083549404572	 | 0.019768719737477625]
Vektor 518	 [77.1489549807837	 | 77.52880200688051	 | -0.37984702609681165]
Vektor 519	 [61.4088686587107	 | 61.73814106890087	 | -0.32927241019017117]
Vektor 520	 [68.65699492753402	 | 69.59421034863179	 | -0.9372154210977754]
Vektor 521	 [14.7966233127425	 | 15.932058667539934	 | -1.1354353547974334]
Vektor 522	 [2.32096828525986	 | 4.574114693529487	 | -2.253146408269627]
Vektor 523	 [12.0882303056777	 | 11.421258524128682	 | 0.6669717815490177]
Vektor 524	 [58.8324018121131	 | 59.07889142930811	 | -0.24648961719501017]
Vektor 525	 [64.79390565792701	 | 65.244771551826	 | -0.45086589389899245]
Vektor 526	 [52.7393949140794	 | 52.82923537708403	 | -0.08984046300463433]
Vektor 527	 [43.6086510032417	 | 43.590081918543014	 | 0.018569084698683014]
Vektor 528	 [34.3428337440917	 | 35.022435875412654	 | -0.679602131320955]
Vektor 529	 [7.06538865495214	 | 6.127221566386441	 | 0.9381670885656987]
Vektor 530	 [13.1069512675456	 | 14.396401449465888	 | -1.2894501819202873]
Vektor 531	 [20.551234924416804	 | 21.234101082408095	 | -0.6828661579912918]
Vektor 532	 [14.232606255732499	 | 13.893897590136158	 | 0.33870866559634116]
Vektor 533	 [12.3088921230918	 | 13.673952327955352	 | -1.3650602048635516]
Vektor 534	 [1.94691624720054	 | 2.125457246899704	 | -0.17854099969916426]
Vektor 535	 [12.1156942861036	 | 13.499308470969396	 | -1.3836141848657952]
Vektor 536	 [56.9679233982941	 | 57.16032484498535	 | -0.1924014466912496]
Vektor 537	 [32.07352695702961	 | 32.93195180262236	 | -0.8584248455927508]
Vektor 538	 [51.8051969017959	 | 51.87645876654219	 | -0.07126186474629037]
Vektor 539	 [35.6109768340885	 | 35.6548562060602	 | -0.04387937197170544]
Vektor 540	 [40.181215543004505	 | 40.39488017059537	 | -0.21366462759086602]
Vektor 541	 [10.3395116126241	 | 11.89756955765162	 | -1.5580579450275192]
Vektor 542	 [74.7584176434663	 | 75.63499101075395	 | -0.8765733672876479]
Vektor 543	 [10.019769985671102	 | 9.130250701199314	 | 0.8895192844717883]
Vektor 544	 [17.1804202033909	 | 18.114278880650296	 | -0.9338586772593978]
Vektor 545	 [36.6783319570392	 | 36.704071298316656	 | -0.025739341277457584]
Vektor 546	 [24.7839098441633	 | 25.81713413614015	 | -1.0332242919768504]
Vektor 547	 [2.8327273312517898	 | 2.6688378241384503	 | 0.1638895071133395]
Vektor 548	 [39.5749610677627	 | 39.82998942465537	 | -0.255028356892673]
Vektor 549	 [53.673809586302596	 | 53.8630931392256	 | -0.18928355292300125]
Vektor 550	 [45.2978501245078	 | 45.29211429467549	 | 0.005735829832303807]
Vektor 551	 [80.4771541872571	 | 80.30647086138084	 | 0.17068332587625434]
Vektor 552	 [71.8489587430982	 | 72.59238316779108	 | -0.7434244246928898]
Vektor 553	 [1.6345503978724807	 | 3.8893529943372425	 | -2.2548025964647618]
Vektor 554	 [55.2501275657241	 | 55.534097880620145	 | -0.2839703148960453]
Vektor 555	 [26.2610301303608	 | 26.611878945482943	 | -0.3508488151221414]
Vektor 556	 [8.360744113886572	 | 10.118261442144343	 | -1.7575173282577712]
Vektor 557	 [11.3014271087944	 | 12.764212123789207	 | -1.4627850149948074]
Vektor 558	 [37.507614727984006	 | 37.92067502903027	 | -0.413060301046265]
Vektor 559	 [21.838304984853597	 | 22.436148571338716	 | -0.5978435864851193]
Vektor 560	 [50.5184808638497	 | 50.56674824824918	 | -0.048267384399480306]
Vektor 561	 [44.085967772545	 | 44.108810449685016	 | -0.02284267714001942]
Vektor 562	 [11.7704039782871	 | 13.187405195448422	 | -1.4170012171613227]
Vektor 563	 [49.4345340688814	 | 49.46584782062346	 | -0.03131375174206141]
Vektor 564	 [8.02406825261119	 | 9.815587348451894	 | -1.7915190958407035]
Vektor 565	 [2.7906958739952197	 | 5.027863371326113	 | -2.2371674973308933]
Vektor 566	 [72.7171586239459	 | 73.5292016298139	 | -0.8120430058679915]
Vektor 567	 [59.4449086266703	 | 59.710259042182415	 | -0.2653504155121169]
Vektor 568	 [2.06047256938594	 | 2.190187087367757	 | -0.12971451798181688]
Vektor 569	 [51.47007639320649	 | 51.55019415792607	 | -0.08011776471958143]
Vektor 570	 [54.85738268342649	 | 55.11676105228914	 | -0.25937836886264876]
Vektor 571	 [48.487387382373	 | 48.50576087204224	 | -0.01837348966923713]
Vektor 572	 [28.678499244092702	 | 28.923051499817156	 | -0.24455225572445372]
Vektor 573	 [54.0725710889608	 | 54.191564877835376	 | -0.11899378887457601]
Vektor 574	 [24.938557795429304	 | 25.977777983297397	 | -1.039220187868093]
Vektor 575	 [61.5060146167931	 | 62.203240204371596	 | -0.6972255875784938]
Vektor 576	 [12.843403330315398	 | 14.157632720655796	 | -1.3142293903403974]
Vektor 577	 [29.1692881604661	 | 29.394649079272114	 | -0.2253609188060146]
Vektor 578	 [32.52159218802301	 | 32.63661152601673	 | -0.1150193379937221]
Vektor 579	 [21.5925013757906	 | 22.206119883992873	 | -0.613618508202272]
Vektor 580	 [39.3307853897288	 | 39.603198095130814	 | -0.27241270540201157]
Vektor 581	 [38.99837288320231	 | 38.995509338150406	 | 0.0028635450519018946]
Vektor 582	 [1.2565561760252693	 | 1.7716002670413311	 | -0.5150440910160619]
Vektor 583	 [4.476439504506231	 | 6.6032461638576105	 | -2.12680665935138]
Vektor 584	 [24.4408337524638	 | 25.458975427878872	 | -1.0181416754150732]
Vektor 585	 [65.9696013990336	 | 66.46579381199547	 | -0.4961924129618609]
Vektor 586	 [14.5974470536849	 | 14.320210253464039	 | 0.2772368002208623]
Vektor 587	 [14.2634276344511	 | 13.92987094103156	 | 0.3335566934195402]
Vektor 588	 [16.529709682016897	 | 17.516671673263907	 | -0.9869619912470107]
Vektor 589	 [4.430239177144579	 | 6.560785516242075	 | -2.1305463390974957]
Vektor 590	 [42.5329285337146	 | 42.513378094583814	 | 0.019550439130789243]
Vektor 591	 [33.041265675350104	 | 33.1423257312712	 | -0.10106005592109568]
Vektor 592	 [6.19043117407106	 | 8.163442843711229	 | -1.9730116696401687]
Vektor 593	 [3.3677580269330107	 | 5.5745199096536036	 | -2.206761882720593]
Vektor 594	 [7.246828197322361	 | 9.116329004857905	 | -1.8695008075355437]
Vektor 595	 [6.61863714241066	 | 8.55017632307339	 | -1.931539180662731]
Vektor 596	 [24.591732539695506	 | 25.616811493508045	 | -1.0250789538125389]
Vektor 597	 [7.692701234799538	 | 9.517581469320493	 | -1.8248802345209558]
Vektor 598	 [1.4714444362755	 | 1.873556544889455	 | -0.40211210861395497]
Vektor 599	 [10.8953653462746	 | 12.398163290314168	 | -1.5027979440395676]
Vektor 600	 [6.741473317368431	 | 8.660979102302907	 | -1.9195057849344757]
Vektor 601	 [31.313932406278106	 | 31.464604132137172	 | -0.15067172585906619]
Vektor 602	 [3.1168076742585598	 | 5.338008967989156	 | -2.221201293730596]
Vektor 603	 [55.866384236029695	 | 56.190008031067805	 | -0.32362379503810956]
Vektor 604	 [3.7116538577581997	 | 5.896112214822591	 | -2.1844583570643916]
Vektor 605	 [79.8054773905356	 | 79.76203470743886	 | 0.043442683096742485]
Vektor 606	 [13.020633548274	 | 14.318178231444945	 | -1.297544683170944]
Vektor 607	 [3.88504903512114	 | 6.057314654174438	 | -2.172265619053298]
Vektor 608	 [18.415981362353996	 | 19.253109925200764	 | -0.8371285628467682]
Vektor 609	 [41.3109785391644	 | 41.455160458966425	 | -0.14418191980202266]
Vektor 610	 [28.6770475162356	 | 29.719523111955564	 | -1.0424755957199636]
Vektor 611	 [26.4701981155985	 | 26.811064994142185	 | -0.3408668785436859]
Vektor 612	 [7.255064275112258	 | 6.307964191187107	 | 0.9471000839251511]
Vektor 613	 [11.4906292834663	 | 12.934885455304187	 | -1.4442561718378872]
Vektor 614	 [28.3171592708309	 | 28.576350188340054	 | -0.2591909175091551]
Vektor 615	 [22.144459585798707	 | 22.72295993208798	 | -0.5785003462892746]
Vektor 616	 [48.6481378217164	 | 48.64333468655106	 | 0.004803135165346362]
Vektor 617	 [29.323579928714505	 | 29.54307115186584	 | -0.21949122315133351]
Vektor 618	 [67.3048415678259	 | 68.23473784782833	 | -0.9298962800024242]
Vektor 619	 [69.4227102663906	 | 70.06024679430269	 | -0.6375365279120899]
Vektor 620	 [5.046230432638019	 | 4.327951951621411	 | 0.7182784810166085]
Vektor 621	 [9.28045449513331	 | 10.944960462105083	 | -1.6645059669717739]
Vektor 622	 [70.42145639325632	 | 71.33315250474948	 | -0.911696111493157]
Vektor 623	 [5.964149478166231	 | 7.958722882185967	 | -1.9945734040197358]
Vektor 624	 [1.1728740918183098	 | 1.7343028791078297	 | -0.5614287872895198]
Vektor 625	 [37.406887404016906	 | 37.828169289457826	 | -0.42128188544091927]
Vektor 626	 [11.8462655697829	 | 11.147401804100177	 | 0.6988637656827237]
Vektor 627	 [17.761703294065995	 | 18.02686123408685	 | -0.26515794002085613]
Vektor 628	 [48.984021128122706	 | 49.00895840270487	 | -0.024937274582164548]
Vektor 629	 [14.697285926623898	 | 15.841531844630435	 | -1.1442459180065363]
Vektor 630	 [2.17552326380934	 | 4.431524352703175	 | -2.256001088893835]
Vektor 631	 [40.52294545202751	 | 40.7145027996072	 | -0.1915573475796961]
Vektor 632	 [20.1278242426425	 | 20.839970778151848	 | -0.7121465355093477]
Vektor 633	 [12.2062039586429	 | 13.581114331992266	 | -1.3749103733493655]
Vektor 634	 [73.42891075788681	 | 74.19357517727495	 | -0.76466441938814]
Vektor 635	 [16.455775156032395	 | 16.499730405276466	 | -0.043955249244071126]
Vektor 636	 [75.6396834741496	 | 76.55777191347266	 | -0.9180884393230571]
Vektor 637	 [53.5412264662122	 | 53.72309132108356	 | -0.18186485487135684]
Vektor 638	 [27.338469433956	 | 27.63950150225301	 | -0.3010320682970118]
Vektor 639	 [43.4737991824367	 | 43.516884083740976	 | -0.043084901304276]
Vektor 640	 [56.1909961261601	 | 56.36239580173904	 | -0.17139967557893954]
Vektor 641	 [52.631510157624	 | 52.719125991665166	 | -0.08761583404116635]
Vektor 642	 [52.4542989766689	 | 52.53830515268754	 | -0.08400617601864013]
Vektor 643	 [17.7827314775299	 | 18.668759534218808	 | -0.8860280566889074]
Vektor 644	 [41.6005305606568	 | 41.58236337786105	 | 0.018167182795750136]
Vektor 645	 [47.54613339692279	 | 47.52829175811984	 | 0.017841638802948978]
Vektor 646	 [65.4914714025856	 | 66.3794859383887	 | -0.8880145358030944]
Vektor 647	 [10.3190815394782	 | 9.453909778708253	 | 0.8651717607699467]
Vektor 648	 [7.845035358975812	 | 9.654595499013483	 | -1.8095601400376715]
Vektor 649	 [49.8709793112436	 | 49.908848053016364	 | -0.037868741772761894]
Vektor 650	 [72.393143776922	 | 73.22409979132298	 | -0.8309560144009822]
Vektor 651	 [20.768323223278102	 | 21.471676663836053	 | -0.7033534405579509]
Vektor 652	 [18.743489509249	 | 19.555890337664614	 | -0.8124008284156155]
Vektor 653	 [10.1192490119186	 | 9.237486648857345	 | 0.8817623630612541]
Vektor 654	 [35.128366428542904	 | 35.74162184865365	 | -0.6132554201107467]
Vektor 655	 [12.9949621268879	 | 14.294918177571711	 | -1.2999560506838108]
Vektor 656	 [51.452905093833984	 | 51.53230393752719	 | -0.07939884369320538]
Vektor 657	 [11.471194038399497	 | 12.917349997331979	 | -1.446155958932481]
Vektor 658	 [35.526744935869004	 | 36.10608203463297	 | -0.5793370987639648]
Vektor 659	 [23.9242250548794	 | 24.914991425307228	 | -0.9907663704278278]
Vektor 660	 [72.6274249199118	 | 73.44487040086743	 | -0.8174454809556266]
Vektor 661	 [12.4618472735845	 | 11.846587361749235	 | 0.6152599118352651]
Vektor 662	 [49.95916146147491	 | 49.98511010297325	 | -0.02594864149833853]
Vektor 663	 [9.77712209572752	 | 11.391557246660849	 | -1.6144351509333283]
Vektor 664	 [6.798708887477741	 | 5.876287062008973	 | 0.9224218254687679]
Vektor 665	 [29.8805661947538	 | 30.079514335196365	 | -0.19894814044256393]
Vektor 666	 [27.197945592929802	 | 27.50525050516881	 | -0.30730491223900813]
Vektor 667	 [4.722064295450321	 | 6.82853067779249	 | -2.1064663823421697]
Vektor 668	 [42.3839910922513	 | 42.472440848078435	 | -0.08844975582713488]
Vektor 669	 [1.3647305730542996	 | 3.6096024773217232	 | -2.2448719042674234]
Vektor 670	 [34.89300576862641	 | 35.52624362794266	 | -0.6332378593162531]
Vektor 671	 [1.1571625083528503	 | 1.727464900322652	 | -0.5703023919698018]
Vektor 672	 [2.7570759497017194	 | 4.995684775315764	 | -2.238608825614045]
Vektor 673	 [3.8707318757567712	 | 6.044026026233933	 | -2.1732941504771617]
Vektor 674	 [53.8956187209763	 | 54.01056840109233	 | -0.1149496801160268]
Vektor 675	 [31.26976530654761	 | 31.421827155737148	 | -0.15206184918953625]
Vektor 676	 [23.148888078644504	 | 23.66629465416235	 | -0.5174065755178461]
